cust_id,month,balance,credit_limit,income,utilization,dti,util_3m_mean,util_6m_std,balance_3m_slope,payment_to_balance,on_time_ratio_6m,max_days_past_due_12m,inquiries_3m,new_accounts_6m,months_since_first,months_since_last_payment,util_x_delinq,dti_x_inquiries,default_next_3m
1,2020-01-01,2465,6880,5457,0.35828488372093026,0.4517133956386293,0.35828488372093026,0.0,0.0,0.7367139959432049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4517133956386293,0
1,2020-02-01,3265,6880,5457,0.4745639534883721,0.598314091991937,0.4164244186046512,0.0822217187426218,799.9999999999997,0.908728943338438,1.0,0.0,0.0,1.0,1.0183968462549278,0.0,0.0,0.598314091991937,0
1,2020-03-01,3221,6880,5457,0.4681686046511628,0.5902510536925051,0.43367248062015507,0.06536583546752388,378.0000000000002,0.5709407016454517,1.0,0.0,0.0,0.0,1.9710906701708277,0.0,0.0,0.5902510536925051,0
1,2020-04-01,3473,6880,5457,0.504796511627907,0.636430273043797,0.4825096899224806,0.06413359944373553,297.9999999999997,0.6610999136193493,1.0,0.0,0.0,0.0,2.9894875164257555,0.0,0.0,0.636430273043797,0
1,2020-05-01,3975,6880,5457,0.5777616279069767,0.7284222100054976,0.5169089147286822,0.07921860990802518,322.8000000000002,0.5388679245283019,1.0,0.0,0.0,1.0,3.9750328515111693,0.0,0.0,0.7284222100054976,0
1,2020-06-01,4151,6880,5457,0.6033430232558139,0.7606743632032252,0.5619670542635659,0.08770922601885384,308.9142857142856,0.6567092266923633,1.0,0.0,0.0,1.0,4.993429697766097,0.0,0.0,0.7606743632032252,0
1,2020-07-01,4464,6880,5457,0.6488372093023256,0.8180318856514568,0.6099806201550387,0.07447243333172061,265.3428571428569,0.6160394265232975,1.0,0.0,0.0,0.0,5.978975032851511,0.0,0.0,0.8180318856514568,0
1,2020-08-01,4945,6880,5457,0.71875,0.9061755543338831,0.6569767441860465,0.09210063983777274,336.25714285714264,0.5836198179979778,0.8333333333333334,1.0,0.0,2.0,6.9973718791064385,0.0,0.71875,0.9061755543338831,0
1,2020-09-01,4439,6880,5457,0.6452034883720931,0.813450613890416,0.6709302325581395,0.0727682195043313,230.08571428571415,0.8774498760982203,0.8333333333333334,1.0,0.0,2.0,8.015768725361367,0.0,0.6452034883720931,0.813450613890416,0
1,2020-10-01,4526,6880,5457,0.6578488372093023,0.8293934396188382,0.6739341085271318,0.04862031942109535,117.14285714285704,0.6025187803800265,0.6666666666666666,2.0,0.0,0.0,9.00131406044678,0.0,0.6578488372093023,0.8293934396188382,0
1,2020-11-01,3704,6880,5457,0.5383720930232558,0.6787612241158145,0.6138081395348837,0.06028250810584808,-73.00000000000057,0.5720842332613391,0.6666666666666666,2.0,0.0,1.0,10.019710906701707,0.0,0.5383720930232558,0.6787612241158145,0
1,2020-12-01,3738,6880,5457,0.5433139534883721,0.6849917537108301,0.57984496124031,0.07073981222686551,-207.60000000000082,0.8394863563402889,0.5,2.0,0.0,1.0,11.005256241787121,0.0,0.5433139534883721,0.6849917537108301,0
1,2021-01-01,3673,6880,5457,0.5338662790697675,0.6730804471321239,0.5385174418604651,0.07828642283106636,-265.28571428571496,0.7514293493057447,0.5,2.0,0.0,0.0,12.02365308804205,0.0,0.5338662790697675,0.6730804471321239,0
1,2021-02-01,2939,6880,5457,0.4271802325581395,0.538574308227964,0.501453488372093,0.08470018136958156,-286.428571428572,0.5202449812861517,0.6666666666666666,2.0,1.0,0.0,13.042049934296976,0.0,0.4271802325581395,1.077148616455928,0
1,2021-03-01,2368,6880,5457,0.34418604651162793,0.4339380612057907,0.435077519379845,0.10831286382172088,-375.7142857142862,0.8695101351351351,0.6666666666666666,2.0,1.0,0.0,13.961892247043364,0.0,0.34418604651162793,0.8678761224115814,0
