cust_id,month,balance,credit_limit,payment,days_past_due,inquiries,open_accounts,income,balance_prev,pct_change,default_next_3m
1,2020-01-01,2465,6880,1816,0,0,1,5457,0.0,2465.0,0
1,2020-02-01,3265,6880,2967,0,0,2,5457,2465.0,0.32454361054766734,0
1,2020-03-01,3221,6880,1839,0,0,1,5457,3265.0,-0.013476263399693721,0
1,2020-04-01,3473,6880,2296,0,0,1,5457,3221.0,0.07823657249301459,0
1,2020-05-01,3975,6880,2142,0,0,2,5457,3473.0,0.1445436222286208,0
1,2020-06-01,4151,6880,2726,0,0,2,5457,3975.0,0.04427672955974843,0
1,2020-07-01,4464,6880,2750,0,0,1,5457,4151.0,0.07540351722476511,0
1,2020-08-01,4945,6880,2886,1,0,3,5457,4464.0,0.10775089605734767,0
1,2020-09-01,4439,6880,3895,0,0,3,5457,4945.0,-0.10232558139534884,0
1,2020-10-01,4526,6880,2727,2,0,2,5457,4439.0,0.01959900878576256,0
1,2020-11-01,3704,6880,2119,0,0,3,5457,4526.0,-0.18161732213875387,0
1,2020-12-01,3738,6880,3138,1,0,2,5457,3704.0,0.0091792656587473,0
1,2021-01-01,3673,6880,2760,0,0,1,5457,3738.0,-0.017388978063135368,0
1,2021-02-01,2939,6880,1529,0,1,2,5457,3673.0,-0.1998366457936292,0
1,2021-03-01,2368,6880,2059,0,0,1,5457,2939.0,-0.19428376998979244,0
1,2021-04-01,2882,6880,1867,0,0,1,5457,2368.0,0.2170608108108108,0
1,2021-05-01,2615,6880,1971,0,0,3,5457,2882.0,-0.0926439972241499,0
1,2021-06-01,2920,6880,2658,0,0,1,5457,2615.0,0.11663479923518165,0
1,2021-07-01,2632,6880,2237,0,0,2,5457,2920.0,-0.09863013698630137,0
1,2021-08-01,2656,6880,2036,0,0,3,5457,2632.0,0.00911854103343465,0
1,2021-09-01,3044,6880,1592,0,0,1,5457,2656.0,0.1460843373493976,0
1,2021-10-01,2946,6880,2146,0,0,2,5457,3044.0,-0.032194480946123524,0
1,2021-11-01,3367,6880,1787,0,0,1,5457,2946.0,0.14290563475899526,0
1,2021-12-01,3268,6880,2374,0,0,1,5457,3367.0,-0.029403029403029402,0
2,2020-01-01,4602,11154,2448,0,0,4,6397,0.0,4602.0,0
2,2020-02-01,4135,11154,3063,0,0,2,6397,4602.0,-0.10147761842677097,0
2,2020-03-01,4966,11154,4315,0,0,1,6397,4135.0,0.20096735187424425,0
2,2020-04-01,5078,11154,4623,0,0,1,6397,4966.0,0.022553362867498993,0
2,2020-05-01,5388,11154,2769,0,0,1,6397,5078.0,0.061047656557699885,0
2,2020-06-01,4978,11154,3291,0,0,3,6397,5388.0,-0.07609502598366741,0
2,2020-07-01,5245,11154,3307,0,0,3,6397,4978.0,0.05363599839292889,0
2,2020-08-01,5481,11154,2862,0,0,1,6397,5245.0,0.0449952335557674,0
2,2020-09-01,5966,11154,5651,0,0,5,6397,5481.0,0.08848750228060573,0
2,2020-10-01,6411,11154,6062,0,0,1,6397,5966.0,0.07458933959101575,0
2,2020-11-01,5822,11154,3296,0,0,2,6397,6411.0,-0.0918733426922477,0
2,2020-12-01,4060,11154,3139,0,0,3,6397,5822.0,-0.3026451391274476,0
2,2021-01-01,3692,11154,3423,0,0,1,6397,4060.0,-0.09064039408866995,0
2,2021-02-01,3587,11154,3077,0,0,1,6397,3692.0,-0.028439869989165763,0
